Device Type,Network Technology,LTE catagory support
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Alarm Panel,LTE with GSM/UMTS,Cat M1
Modem,LTE with GSM/UMTS,Cat M1
Modem,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Remote Monitoring and Control,LTE with GSM/UMTS,Cat M1
Remote Monitoring and Control,LTE with GSM/UMTS,Cat 1
Camera,LTE Only,Cat 4
Router,LTE Only,Cat 11
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Asset Tracking,LTE Only,Cat M1
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Router,LTE with GSM/UMTS,Cat 12
Router,LTE with GSM/UMTS,Cat 4
Camera,LTE Only,Cat 4
Vehicle Monitoring,LTE with GSM/UMTS,Cat 1
Router,LTE with 5G NR NSA,Cat 19
Tablet,LTE Only,Cat 13
Tablet,LTE with GSM/UMTS,Cat 12
Laptop,LTE with GSM/UMTS,Cat 12
Tablet,LTE with GSM/UMTS,Cat 12
Router,LTE Only,Cat 6
Router,LTE Only,Cat 6
Rugged Handheld / Smartphone,LTE with GSM/UMTS and 5G NR NSA,Cat 18
Router,LTE Only,Cat 12
Remote Monitoring and Control,LTE with GSM/UMTS,Cat M1
Tablet,LTE with GSM/UMTS,Cat 13
Router,LTE with GSM/UMTS,Cat 4
Alarm Panel,LTE Only,Cat 4
Router,LTE Only,Cat 4
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19
Asset Tracking,LTE Only,Cat M1
Tablet,LTE Only,Cat 13
Camera,LTE Only,Cat 1
Router,LTE with 5G NR NSA,Cat 20
Router,LTE with 5G NR NSA,Cat 20
Router,,
Router,,
Router,LTE Only,Cat 20
Router,LTE Only,Cat 4
Router,LTE Only,Cat 4
Smartphone,LTE with GSM/UMTS,Cat 13
Utility / Smart Grid,LTE Only,Cat M1
Remote Monitoring and Control,LTE Only,Cat M1
Modem,LTE Only,Cat 12
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19
Router,LTE Only,Cat 19
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19
Modem,LTE Only,Cat M1
Modem,LTE Only,Cat M1
Modem,LTE Only,Cat M1
Modem,LTE Only,Cat M1
Remote Monitoring and Control,LTE Only,Cat M1
Modem,LTE Only,Cat M1
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19
Development Kit,LTE Only,Cat M1
Router,LTE with GSM/UMTS,Cat 4
Vehicle Monitoring,LTE Only,Cat 4
Router,LTE Only,Cat 1
Utility / Smart Grid,LTE Only,Cat M1
Vehicle Monitoring,LTE Only,Cat 4
Utility / Smart Grid,LTE with GSM/UMTS,Cat 1
Utility / Smart Grid,LTE with GSM/UMTS,Cat 1
